country code,country_long,name of powerplant,capacity in MW,latitude,longitude,primary_fuel,secondary fuel,other_fuel2,other_fuel3,start date,owner of plant,generation_gwh_2021,geolocation_source,estimated_generation_gwh_2021
CAN,Canada,13th Side Road,9.5,42.855,-80.3607,Solar,,,,,Skypower Ltd / Sunedison,,Natural Resources Canada,12.98
CAN,Canada,Aberfeldie,24,49.4933,-115.3624,Hydro,,,,,BC Hydro,,Natural Resources Canada,75.54
CAN,Canada,Abitibi Canyon,349,49.8822,-81.567,Hydro,,,,,,,Natural Resources Canada,1405.59
CAN,Canada,Abénaquis,2.1,45.4052,-71.8932,Hydro,,,,,Ville de Sherbrooke /Hydro Sherbrooke,,Natural Resources Canada,9.22
CAN,Canada,Adam-Cunningham,7,48.6581,-71.1708,Hydro,,,,,Hydro Saguenay,,Natural Resources Canada,31.53
CAN,Canada,Adelaide,59.9,42.9877,-81.7068,Wind,,,,,Kerwood Wind  LP,,Natural Resources Canada,
CAN,Canada,Adelaide (Suncor),40,43.0184,-81.7392,Wind,,,,,Suncor Adelaide Wind LP,,Natural Resources Canada,
CAN,Canada,Adelaide 1,10,42.9585,-81.6708,Solar,,,,,Met Fiera Solar Adelaide 1 LP,,Natural Resources Canada,13.76
CAN,Canada,Aeolus,3,47.0368,-64.0051,Wind,,,,,PEI Energy Corp,,Natural Resources Canada,
CAN,Canada,Aguasabon,45,48.7867,-87.161,Hydro,,,,,,,Natural Resources Canada,161.47
CAN,Canada,Aishihik,37,61.0351,-137.0509,Hydro,,,,,,,Natural Resources Canada,117.47
CAN,Canada,Akolkolex,10,50.8227,-118.0295,Hydro,,,,,TransAlta (100%),,Natural Resources Canada,32.05
CAN,Canada,AlPac Boyle,125,54.921,-112.8622,Biomass,,,,,APF Athabasca,,Natural Resources Canada,
CAN,Canada,Alderville 3,5,44.1939,-78.0946,Solar,,,,,Alderville Solar LP,,Natural Resources Canada,7.14
CAN,Canada,Alexander,69,49.1355,-88.358,Hydro,,,,,,,Natural Resources Canada,335.3
CAN,Canada,Alfred,10,45.54,-74.8878,Solar,,,,,2225228 Ontario Inc,,Natural Resources Canada,14.68
CAN,Canada,Algoma Cogeneration,63,49.5244,-84.3712,Gas,,,,2009,Essar Steel Algoma,,WRI,
